episodio,recompensa
298,-200.0
299,-200.0
300,-200.0
301,-200.0
302,-200.0
303,-200.0
304,-200.0
305,-200.0
306,-200.0
307,-200.0
308,-200.0
309,-188.0
310,-200.0
311,-200.0
312,-200.0
313,-200.0
314,-200.0
315,-200.0
316,-200.0
317,-200.0
318,-200.0
319,-200.0
320,-200.0
321,-200.0
322,-200.0
323,-200.0
324,-155.0
325,-200.0
326,-200.0
327,-200.0
328,-200.0
329,-200.0
330,-200.0
331,-200.0
332,-200.0
333,-200.0
334,-200.0
335,-200.0
336,-200.0
337,-200.0
338,-200.0
339,-200.0
340,-155.0
341,-200.0
342,-200.0
343,-200.0
344,-200.0
345,-144.0
346,-138.0
347,-200.0
348,-200.0
349,-200.0
350,-200.0
351,-200.0
352,-200.0
353,-200.0
354,-144.0
355,-200.0
356,-200.0
357,-200.0
358,-200.0
359,-137.0
360,-200.0
361,-200.0
362,-200.0
363,-200.0
364,-200.0
365,-200.0
366,-200.0
367,-200.0
368,-200.0
369,-155.0
370,-200.0
371,-200.0
372,-200.0
373,-200.0
374,-196.0
375,-200.0
376,-195.0
377,-200.0
378,-169.0
379,-200.0
380,-200.0
381,-200.0
382,-200.0
383,-200.0
384,-200.0
385,-200.0
386,-191.0
387,-200.0
388,-189.0
389,-200.0
390,-129.0
391,-200.0
392,-125.0
393,-200.0
394,-200.0
395,-200.0
396,-200.0
397,-200.0
398,-200.0
399,-200.0
400,-200.0
401,-200.0
402,-200.0
403,-179.0
404,-200.0
405,-200.0
406,-200.0
407,-200.0
408,-163.0
409,-151.0
410,-200.0
411,-200.0
412,-200.0
413,-200.0
414,-142.0
415,-200.0
416,-200.0
417,-200.0
418,-200.0
419,-200.0
420,-146.0
421,-97.0
422,-200.0
423,-200.0
424,-200.0
425,-200.0
426,-200.0
427,-178.0
428,-200.0
429,-200.0
430,-200.0
431,-200.0
432,-200.0
433,-200.0
434,-200.0
435,-200.0
436,-200.0
437,-200.0
438,-200.0
439,-200.0
440,-200.0
441,-200.0
442,-200.0
443,-200.0
444,-200.0
445,-200.0
446,-200.0
447,-200.0
448,-200.0
449,-200.0
450,-200.0
451,-156.0
452,-200.0
453,-200.0
454,-200.0
455,-200.0
456,-200.0
457,-200.0
458,-156.0
459,-200.0
460,-200.0
461,-185.0
462,-200.0
463,-112.0
464,-200.0
465,-200.0
466,-130.0
467,-200.0
468,-200.0
469,-191.0
470,-200.0
471,-200.0
472,-200.0
473,-200.0
474,-200.0
475,-200.0
476,-197.0
477,-200.0
478,-196.0
479,-200.0
480,-200.0
481,-200.0
482,-200.0
483,-200.0
484,-200.0
485,-200.0
486,-200.0
487,-200.0
488,-200.0
489,-169.0
490,-200.0
491,-200.0
492,-200.0
493,-200.0
494,-200.0
495,-200.0
496,-200.0
497,-200.0
498,-200.0
499,-200.0
500,-200.0
501,-200.0
502,-200.0
503,-200.0
504,-200.0
505,-200.0
506,-186.0
507,-200.0
508,-200.0
509,-200.0
510,-200.0
511,-200.0
512,-200.0
513,-200.0
514,-200.0
515,-200.0
516,-200.0
517,-200.0
518,-200.0
519,-200.0
520,-200.0
521,-200.0
522,-192.0
523,-200.0
524,-200.0
525,-200.0
526,-200.0
527,-101.0
528,-200.0
529,-200.0
530,-200.0
531,-200.0
532,-200.0
533,-200.0
534,-175.0
535,-200.0
536,-200.0
537,-200.0
538,-200.0
539,-200.0
540,-200.0
541,-200.0
542,-200.0
543,-200.0
544,-200.0
545,-200.0
546,-200.0
547,-200.0
548,-136.0
549,-200.0
550,-200.0
551,-198.0
552,-200.0
553,-200.0
554,-166.0
555,-200.0
556,-200.0
557,-200.0
558,-200.0
559,-133.0
560,-200.0
561,-200.0
562,-109.0
563,-200.0
564,-150.0
565,-200.0
566,-162.0
567,-200.0
568,-200.0
569,-200.0
570,-200.0
571,-200.0
572,-200.0
573,-185.0
574,-200.0
575,-200.0
576,-124.0
577,-200.0
578,-200.0
579,-200.0
580,-200.0
581,-200.0
582,-200.0
583,-200.0
584,-200.0
585,-200.0
586,-200.0
587,-200.0
588,-200.0
589,-200.0
590,-200.0
591,-200.0
592,-200.0
593,-200.0
594,-200.0
595,-200.0
596,-200.0
597,-200.0
598,-200.0
599,-200.0
600,-200.0
601,-200.0
602,-200.0
603,-200.0
604,-200.0
605,-200.0
606,-200.0
607,-200.0
608,-200.0
609,-200.0
610,-148.0
611,-200.0
612,-200.0
613,-200.0
614,-200.0
615,-200.0
616,-200.0
617,-200.0
618,-200.0
619,-200.0
620,-200.0
621,-200.0
622,-200.0
623,-200.0
624,-200.0
625,-200.0
626,-200.0
627,-200.0
628,-200.0
629,-200.0
630,-200.0
631,-200.0
632,-200.0
633,-200.0
634,-200.0
635,-200.0
636,-200.0
637,-200.0
638,-200.0
639,-200.0
640,-200.0
641,-200.0
642,-200.0
643,-200.0
644,-200.0
645,-200.0
646,-200.0
647,-200.0
648,-200.0
649,-200.0
650,-200.0
651,-200.0
652,-200.0
653,-149.0
654,-200.0
655,-200.0
656,-132.0
657,-200.0
658,-200.0
659,-114.0
660,-87.0
661,-200.0
662,-200.0
663,-198.0
664,-200.0
665,-200.0
666,-200.0
667,-200.0
668,-200.0
669,-200.0
670,-200.0
671,-200.0
672,-200.0
673,-200.0
674,-200.0
675,-200.0
676,-194.0
677,-200.0
678,-200.0
679,-150.0
680,-124.0
681,-200.0
682,-170.0
683,-200.0
684,-200.0
685,-200.0
686,-200.0
687,-200.0
688,-149.0
689,-135.0
690,-200.0
691,-169.0
692,-200.0
693,-200.0
694,-153.0
695,-200.0
696,-200.0
697,-200.0
698,-200.0
699,-200.0
700,-200.0
701,-200.0
702,-200.0
703,-200.0
704,-191.0
705,-132.0
706,-200.0
707,-157.0
708,-200.0
709,-147.0
710,-200.0
711,-200.0
712,-200.0
713,-200.0
714,-200.0
715,-193.0
716,-200.0
717,-200.0
718,-200.0
719,-200.0
720,-155.0
721,-191.0
722,-200.0
723,-166.0
724,-161.0
725,-200.0
726,-200.0
727,-200.0
728,-176.0
729,-188.0
730,-175.0
731,-145.0
732,-187.0
733,-200.0
734,-180.0
735,-200.0
736,-147.0
737,-200.0
738,-200.0
739,-200.0
740,-200.0
741,-200.0
742,-200.0
743,-158.0
744,-200.0
745,-200.0
746,-131.0
747,-125.0
748,-123.0
749,-172.0
750,-200.0
751,-147.0
752,-200.0
753,-200.0
754,-200.0
755,-200.0
756,-200.0
757,-130.0
758,-200.0
759,-121.0
760,-200.0
761,-84.0
762,-147.0
763,-200.0
764,-200.0
765,-200.0
766,-101.0
767,-186.0
768,-158.0
769,-200.0
770,-200.0
771,-200.0
772,-138.0
773,-200.0
774,-158.0
775,-200.0
776,-200.0
777,-200.0
778,-200.0
779,-120.0
780,-200.0
781,-200.0
782,-192.0
783,-200.0
784,-135.0
785,-200.0
786,-95.0
787,-198.0
788,-200.0
789,-124.0
790,-156.0
791,-149.0
792,-151.0
793,-200.0
794,-200.0
795,-200.0
796,-200.0
797,-155.0
798,-144.0
799,-105.0
800,-148.0
801,-160.0
802,-200.0
803,-200.0
804,-177.0
805,-186.0
806,-200.0
807,-169.0
808,-104.0
809,-191.0
810,-200.0
811,-196.0
812,-200.0
813,-135.0
814,-86.0
815,-200.0
816,-200.0
817,-183.0
818,-158.0
819,-148.0
820,-86.0
821,-157.0
822,-200.0
823,-149.0
824,-164.0
825,-200.0
826,-184.0
827,-200.0
828,-156.0
829,-200.0
830,-152.0
831,-143.0
832,-200.0
833,-200.0
834,-200.0
835,-173.0
836,-109.0
837,-200.0
838,-162.0
839,-200.0
840,-181.0
841,-171.0
842,-162.0
843,-200.0
844,-153.0
845,-179.0
846,-89.0
847,-174.0
848,-197.0
849,-141.0
850,-168.0
851,-153.0
852,-159.0
853,-190.0
854,-159.0
855,-137.0
856,-170.0
857,-83.0
858,-99.0
859,-200.0
860,-92.0
861,-149.0
862,-200.0
863,-185.0
864,-84.0
865,-87.0
866,-142.0
867,-200.0
868,-164.0
869,-198.0
870,-200.0
871,-85.0
872,-125.0
873,-95.0
874,-139.0
875,-200.0
876,-136.0
877,-200.0
878,-84.0
879,-171.0
880,-137.0
881,-180.0
882,-200.0
883,-114.0
884,-147.0
885,-200.0
886,-200.0
887,-125.0
888,-172.0
889,-131.0
890,-118.0
891,-106.0
892,-200.0
893,-188.0
894,-123.0
895,-130.0
896,-113.0
897,-92.0
898,-158.0
899,-125.0
900,-200.0
901,-200.0
902,-97.0
903,-200.0
904,-124.0
905,-181.0
906,-153.0
907,-200.0
908,-200.0
909,-135.0
910,-90.0
911,-200.0
912,-187.0
913,-200.0
914,-189.0
915,-122.0
916,-200.0
917,-197.0
918,-137.0
919,-185.0
920,-121.0
921,-200.0
922,-200.0
923,-108.0
924,-200.0
925,-153.0
926,-178.0
927,-200.0
928,-118.0
929,-199.0
930,-200.0
931,-110.0
932,-127.0
933,-140.0
934,-200.0
935,-92.0
936,-174.0
937,-131.0
938,-131.0
939,-198.0
940,-117.0
941,-116.0
942,-130.0
943,-134.0
944,-194.0
945,-200.0
946,-168.0
947,-120.0
948,-109.0
949,-126.0
950,-94.0
951,-165.0
952,-180.0
953,-115.0
954,-123.0
955,-126.0
956,-123.0
957,-104.0
958,-98.0
959,-133.0
960,-115.0
961,-186.0
962,-129.0
963,-130.0
964,-175.0
965,-151.0
966,-168.0
967,-198.0
968,-200.0
969,-122.0
970,-116.0
971,-129.0
972,-95.0
973,-181.0
974,-200.0
975,-200.0
976,-102.0
977,-200.0
978,-113.0
979,-160.0
980,-131.0
981,-114.0
982,-179.0
983,-111.0
984,-100.0
985,-200.0
986,-169.0
987,-157.0
988,-91.0
989,-111.0
990,-100.0
991,-86.0
992,-88.0
993,-84.0
994,-159.0
995,-130.0
996,-200.0
997,-165.0
998,-92.0
999,-171.0
1000,-90.0
1001,-110.0
1002,-110.0
1003,-129.0
1004,-178.0
1005,-113.0
1006,-162.0
1007,-101.0
1008,-120.0
1009,-107.0
1010,-200.0
1011,-176.0
1012,-200.0
1013,-113.0
1014,-93.0
1015,-85.0
1016,-163.0
1017,-122.0
1018,-147.0
1019,-90.0
1020,-104.0
1021,-111.0
1022,-84.0
1023,-182.0
1024,-84.0
1025,-157.0
1026,-149.0
1027,-172.0
1028,-89.0
1029,-183.0
1030,-114.0
1031,-166.0
1032,-200.0
1033,-150.0
1034,-98.0
1035,-192.0
1036,-164.0
1037,-85.0
1038,-145.0
1039,-85.0
1040,-162.0
1041,-100.0
1042,-128.0
1043,-87.0
1044,-87.0
1045,-155.0
1046,-158.0
1047,-109.0
1048,-200.0
1049,-181.0
1050,-114.0
1051,-114.0
1052,-172.0
1053,-96.0
1054,-175.0
1055,-84.0
1056,-193.0
1057,-119.0
1058,-124.0
1059,-126.0
1060,-155.0
1061,-111.0
1062,-121.0
1063,-121.0
1064,-99.0
1065,-200.0
1066,-200.0
1067,-160.0
1068,-120.0
1069,-157.0
1070,-189.0
1071,-109.0
1072,-83.0
1073,-122.0
1074,-103.0
1075,-84.0
1076,-170.0
1077,-146.0
1078,-93.0
1079,-122.0
1080,-198.0
1081,-83.0
1082,-107.0
1083,-112.0
1084,-83.0
1085,-129.0
1086,-156.0
1087,-191.0
1088,-150.0
1089,-130.0
1090,-99.0
1091,-200.0
1092,-161.0
1093,-156.0
1094,-147.0
1095,-84.0
1096,-115.0
1097,-200.0
1098,-166.0
1099,-184.0
1100,-116.0
1101,-119.0
1102,-87.0
1103,-91.0
1104,-105.0
1105,-109.0
1106,-107.0
1107,-84.0
1108,-102.0
1109,-106.0
1110,-168.0
1111,-104.0
1112,-114.0
1113,-200.0
1114,-104.0
1115,-87.0
1116,-92.0
1117,-163.0
1118,-200.0
1119,-177.0
1120,-92.0
1121,-104.0
1122,-107.0
1123,-93.0
1124,-93.0
1125,-85.0
1126,-94.0
1127,-200.0
1128,-127.0
1129,-105.0
1130,-99.0
1131,-86.0
1132,-145.0
1133,-114.0
1134,-167.0
1135,-88.0
1136,-200.0
1137,-116.0
1138,-112.0
1139,-102.0
1140,-118.0
1141,-140.0
1142,-184.0
1143,-178.0
1144,-93.0
1145,-195.0
1146,-87.0
1147,-114.0
1148,-87.0
1149,-105.0
1150,-116.0
1151,-87.0
1152,-111.0
1153,-108.0
1154,-168.0
1155,-107.0
1156,-192.0
1157,-105.0
1158,-84.0
1159,-107.0
1160,-104.0
1161,-123.0
1162,-111.0
1163,-96.0
1164,-89.0
1165,-110.0
1166,-132.0
1167,-131.0
1168,-111.0
1169,-110.0
1170,-169.0
1171,-200.0
1172,-128.0
1173,-140.0
1174,-112.0
1175,-113.0
1176,-200.0
1177,-102.0
1178,-162.0
1179,-153.0
1180,-89.0
1181,-180.0
1182,-128.0
1183,-130.0
1184,-103.0
1185,-181.0
1186,-111.0
1187,-154.0
1188,-110.0
1189,-112.0
1190,-84.0
1191,-152.0
1192,-200.0
1193,-147.0
1194,-180.0
1195,-106.0
1196,-121.0
1197,-110.0
1198,-110.0
1199,-108.0
1200,-140.0
1201,-114.0
1202,-105.0
1203,-89.0
1204,-169.0
1205,-103.0
1206,-105.0
1207,-110.0
1208,-123.0
1209,-190.0
1210,-104.0
1211,-200.0
1212,-96.0
1213,-184.0
1214,-105.0
1215,-200.0
1216,-187.0
1217,-95.0
1218,-110.0
1219,-114.0
1220,-104.0
1221,-108.0
1222,-146.0
1223,-85.0
1224,-110.0
1225,-102.0
1226,-200.0
1227,-92.0
1228,-109.0
1229,-84.0
1230,-87.0
1231,-106.0
1232,-96.0
1233,-172.0
1234,-186.0
1235,-110.0
1236,-156.0
1237,-114.0
1238,-95.0
1239,-88.0
1240,-96.0
1241,-94.0
1242,-157.0
1243,-114.0
1244,-105.0
1245,-176.0
1246,-104.0
1247,-119.0
1248,-168.0
1249,-102.0
1250,-172.0
1251,-102.0
1252,-180.0
1253,-198.0
1254,-106.0
1255,-109.0
1256,-180.0
1257,-104.0
1258,-131.0
1259,-85.0
1260,-160.0
1261,-172.0
1262,-103.0
1263,-111.0
1264,-83.0
1265,-200.0
1266,-174.0
1267,-86.0
1268,-110.0
1269,-103.0
1270,-93.0
1271,-107.0
1272,-200.0
1273,-111.0
1274,-92.0
1275,-110.0
1276,-102.0
1277,-86.0
1278,-111.0
1279,-108.0
1280,-86.0
1281,-103.0
1282,-166.0
1283,-119.0
1284,-83.0
1285,-104.0
1286,-104.0
1287,-104.0
1288,-104.0
1289,-157.0
1290,-95.0
1291,-86.0
1292,-103.0
1293,-141.0
1294,-103.0
1295,-107.0
1296,-193.0
1297,-129.0
1298,-146.0
1299,-103.0
1300,-105.0
1301,-161.0
1302,-174.0
1303,-110.0
1304,-99.0
1305,-86.0
1306,-113.0
1307,-179.0
1308,-113.0
1309,-120.0
1310,-120.0
1311,-165.0
1312,-193.0
1313,-128.0
1314,-187.0
1315,-176.0
1316,-200.0
1317,-94.0
1318,-182.0
1319,-105.0
1320,-195.0
1321,-98.0
1322,-200.0
1323,-154.0
1324,-119.0
1325,-88.0
1326,-200.0
1327,-128.0
1328,-124.0
1329,-105.0
1330,-106.0
1331,-170.0
1332,-114.0
1333,-86.0
1334,-175.0
1335,-103.0
1336,-188.0
1337,-110.0
1338,-200.0
1339,-137.0
1340,-89.0
1341,-83.0
1342,-155.0
1343,-128.0
1344,-104.0
1345,-179.0
1346,-105.0
1347,-105.0
1348,-200.0
1349,-98.0
1350,-104.0
1351,-110.0
1352,-200.0
1353,-102.0
1354,-112.0
1355,-176.0
1356,-145.0
1357,-108.0
1358,-200.0
1359,-161.0
1360,-91.0
1361,-103.0
1362,-104.0
1363,-178.0
1364,-134.0
1365,-106.0
1366,-105.0
1367,-105.0
1368,-102.0
1369,-126.0
1370,-90.0
1371,-104.0
1372,-84.0
1373,-89.0
1374,-104.0
1375,-103.0
1376,-116.0
1377,-166.0
1378,-95.0
1379,-114.0
1380,-143.0
1381,-145.0
1382,-104.0
1383,-200.0
1384,-177.0
1385,-93.0
1386,-192.0
1387,-91.0
1388,-158.0
1389,-105.0
1390,-200.0
1391,-151.0
1392,-200.0
1393,-136.0
1394,-171.0
1395,-123.0
1396,-107.0
1397,-86.0
1398,-188.0
1399,-97.0
1400,-116.0
1401,-159.0
1402,-99.0
1403,-105.0
1404,-184.0
1405,-176.0
1406,-105.0
1407,-154.0
1408,-200.0
1409,-114.0
1410,-104.0
1411,-112.0
1412,-104.0
1413,-128.0
1414,-105.0
1415,-176.0
1416,-106.0
1417,-113.0
1418,-165.0
1419,-115.0
1420,-114.0
1421,-85.0
1422,-110.0
1423,-157.0
1424,-173.0
1425,-105.0
1426,-104.0
1427,-105.0
1428,-106.0
1429,-101.0
1430,-179.0
1431,-111.0
1432,-122.0
1433,-112.0
1434,-105.0
1435,-104.0
1436,-110.0
1437,-102.0
1438,-102.0
1439,-87.0
1440,-102.0
1441,-122.0
1442,-104.0
1443,-99.0
1444,-138.0
1445,-170.0
1446,-102.0
1447,-109.0
1448,-122.0
1449,-105.0
1450,-200.0
1451,-151.0
1452,-200.0
1453,-101.0
1454,-104.0
1455,-186.0
1456,-104.0
1457,-107.0
1458,-117.0
1459,-107.0
1460,-180.0
1461,-105.0
1462,-97.0
1463,-104.0
1464,-93.0
1465,-106.0
1466,-99.0
1467,-168.0
1468,-107.0
1469,-115.0
1470,-112.0
1471,-105.0
1472,-170.0
1473,-108.0
1474,-187.0
1475,-166.0
1476,-104.0
1477,-114.0
1478,-145.0
1479,-194.0
1480,-111.0
1481,-100.0
1482,-105.0
1483,-116.0
1484,-105.0
1485,-200.0
1486,-108.0
1487,-121.0
1488,-106.0
1489,-85.0
1490,-104.0
1491,-104.0
1492,-174.0
1493,-166.0
1494,-89.0
1495,-104.0
1496,-112.0
1497,-109.0
1498,-105.0
1499,-122.0
1500,-90.0
1501,-108.0
1502,-197.0
1503,-103.0
1504,-106.0
1505,-109.0
1506,-115.0
1507,-160.0
1508,-189.0
1509,-166.0
1510,-107.0
1511,-88.0
1512,-112.0
1513,-153.0
1514,-102.0
1515,-121.0
1516,-161.0
1517,-125.0
1518,-108.0
1519,-114.0
1520,-109.0
1521,-179.0
1522,-175.0
1523,-137.0
1524,-104.0
1525,-99.0
1526,-107.0
1527,-163.0
1528,-118.0
1529,-114.0
1530,-194.0
1531,-115.0
1532,-98.0
1533,-135.0
1534,-200.0
1535,-88.0
1536,-117.0
1537,-118.0
1538,-115.0
1539,-105.0
1540,-119.0
1541,-110.0
1542,-115.0
1543,-87.0
1544,-107.0
1545,-155.0
1546,-97.0
1547,-156.0
1548,-99.0
1549,-200.0
1550,-200.0
1551,-111.0
1552,-189.0
1553,-87.0
1554,-185.0
1555,-86.0
1556,-114.0
1557,-88.0
1558,-86.0
1559,-175.0
1560,-200.0
1561,-91.0
1562,-113.0
1563,-146.0
1564,-160.0
1565,-118.0
1566,-200.0
1567,-125.0
1568,-200.0
1569,-139.0
1570,-146.0
1571,-171.0
1572,-92.0
1573,-127.0
1574,-117.0
1575,-170.0
1576,-130.0
1577,-86.0
1578,-85.0
1579,-133.0
1580,-200.0
1581,-117.0
1582,-200.0
1583,-149.0
1584,-86.0
1585,-195.0
1586,-122.0
1587,-126.0
1588,-200.0
1589,-137.0
1590,-200.0
1591,-95.0
1592,-200.0
1593,-115.0
1594,-124.0
1595,-129.0
1596,-123.0
1597,-84.0
1598,-127.0
1599,-122.0
1600,-103.0
1601,-180.0
1602,-176.0
1603,-200.0
1604,-119.0
1605,-126.0
1606,-146.0
1607,-200.0
1608,-114.0
1609,-179.0
1610,-141.0
1611,-134.0
1612,-200.0
1613,-173.0
1614,-165.0
1615,-200.0
1616,-112.0
1617,-119.0
1618,-96.0
1619,-189.0
1620,-120.0
1621,-115.0
1622,-117.0
1623,-85.0
1624,-188.0
1625,-137.0
1626,-148.0
1627,-179.0
1628,-109.0
1629,-100.0
1630,-146.0
1631,-148.0
1632,-137.0
1633,-181.0
1634,-125.0
1635,-179.0
1636,-158.0
1637,-112.0
1638,-132.0
1639,-110.0
1640,-190.0
1641,-87.0
1642,-128.0
1643,-84.0
1644,-106.0
1645,-174.0
1646,-146.0
1647,-200.0
1648,-89.0
1649,-200.0
1650,-90.0
1651,-163.0
1652,-122.0
1653,-102.0
1654,-113.0
1655,-128.0
1656,-90.0
1657,-173.0
1658,-111.0
1659,-108.0
1660,-153.0
1661,-105.0
1662,-152.0
1663,-103.0
1664,-120.0
1665,-108.0
1666,-86.0
1667,-114.0
1668,-188.0
1669,-105.0
1670,-137.0
1671,-123.0
1672,-128.0
1673,-140.0
1674,-109.0
1675,-105.0
1676,-111.0
1677,-172.0
1678,-106.0
1679,-192.0
1680,-122.0
1681,-115.0
1682,-108.0
1683,-170.0
1684,-192.0
1685,-115.0
1686,-110.0
1687,-90.0
1688,-115.0
1689,-154.0
1690,-108.0
1691,-186.0
1692,-113.0
1693,-200.0
1694,-137.0
1695,-120.0
1696,-99.0
1697,-88.0
1698,-111.0
1699,-121.0
1700,-87.0
1701,-89.0
1702,-116.0
1703,-106.0
1704,-144.0
1705,-86.0
1706,-200.0
1707,-93.0
1708,-89.0
1709,-97.0
1710,-157.0
1711,-94.0
1712,-110.0
1713,-90.0
1714,-167.0
1715,-88.0
1716,-119.0
1717,-126.0
1718,-108.0
1719,-108.0
1720,-115.0
1721,-171.0
1722,-100.0
1723,-200.0
1724,-88.0
1725,-114.0
1726,-108.0
1727,-119.0
1728,-107.0
1729,-163.0
1730,-89.0
1731,-194.0
1732,-117.0
1733,-128.0
1734,-144.0
1735,-112.0
1736,-179.0
1737,-107.0
1738,-154.0
1739,-88.0
1740,-108.0
1741,-104.0
1742,-89.0
1743,-111.0
1744,-106.0
1745,-108.0
1746,-93.0
1747,-96.0
1748,-155.0
1749,-128.0
1750,-121.0
1751,-111.0
1752,-104.0
1753,-144.0
1754,-107.0
1755,-172.0
1756,-152.0
1757,-180.0
1758,-166.0
1759,-103.0
1760,-100.0
1761,-86.0
1762,-114.0
1763,-115.0
1764,-114.0
1765,-125.0
1766,-110.0
1767,-90.0
1768,-85.0
1769,-95.0
1770,-106.0
1771,-163.0
1772,-113.0
1773,-117.0
1774,-115.0
1775,-86.0
1776,-91.0
1777,-151.0
1778,-128.0
1779,-111.0
1780,-87.0
1781,-94.0
1782,-116.0
1783,-192.0
1784,-105.0
1785,-139.0
1786,-120.0
1787,-92.0
1788,-152.0
1789,-94.0
1790,-200.0
1791,-178.0
1792,-114.0
1793,-93.0
1794,-104.0
1795,-97.0
1796,-150.0
1797,-200.0
1798,-84.0
1799,-107.0
1800,-106.0
1801,-90.0
1802,-176.0
1803,-85.0
1804,-105.0
1805,-152.0
1806,-97.0
1807,-122.0
1808,-85.0
1809,-86.0
1810,-111.0
1811,-126.0
1812,-118.0
1813,-158.0
1814,-139.0
1815,-148.0
1816,-139.0
1817,-108.0
1818,-91.0
1819,-87.0
1820,-156.0
1821,-200.0
1822,-172.0
1823,-200.0
1824,-84.0
1825,-200.0
1826,-165.0
1827,-177.0
1828,-86.0
1829,-109.0
1830,-167.0
1831,-87.0
1832,-114.0
1833,-97.0
1834,-116.0
1835,-89.0
1836,-112.0
1837,-143.0
1838,-155.0
1839,-155.0
1840,-86.0
1841,-164.0
1842,-85.0
1843,-107.0
1844,-200.0
1845,-108.0
1846,-105.0
1847,-161.0
1848,-161.0
1849,-114.0
1850,-108.0
1851,-112.0
1852,-172.0
1853,-103.0
1854,-110.0
1855,-128.0
1856,-113.0
1857,-200.0
1858,-168.0
1859,-122.0
1860,-103.0
1861,-181.0
1862,-110.0
1863,-200.0
1864,-119.0
1865,-110.0
1866,-88.0
1867,-191.0
1868,-108.0
1869,-180.0
1870,-111.0
1871,-200.0
1872,-200.0
