episodios_entrenados,recompensa_media,exitos,episodios_validacion,segundos_acumulados
250,-200.0,0,20,299.44
500,-200.0,0,20,610.71
750,-200.0,0,20,919.64
1000,-200.0,0,20,1230.72
1250,-200.0,0,20,1531.83
1500,-200.0,0,20,1833.14
1750,-200.0,0,20,2136.71
2000,-200.0,0,20,2457.15
2250,-200.0,0,20,2684.73
2500,-200.0,0,20,2973.64
